hour,jday,solar_zenith,ghi,uw_solar,dni,dhi,dw_ir,uw_ir,uvb,par,netsolar,netir,totalnet,temp_air,relative_humidity,pressure
0,175.5,81.45748,71.91506666666668,22.409533333333336,222.4908,43.445933333333336,384.3323815922069,442.7017,3.340866666666667,33.07465800273598,57.80683333333333,-58.45112529392005,-0.6050722203560631,26.196066666666667,54.17296666666667,989.0591666666667
1,175.5,91.58707666666666,3.3765,1.1804,13.8511,4.463066666666667,377.6142280524723,428.7049,0.18273333333333336,2.2598045822102426,3.883,-51.24581231079717,-47.35613858055835,24.8163,60.18653333333334,989.3094666666666
2,175.5,100.86316,-1.6119333333333334,-0.24153333333333335,0.027800000000000002,-0.3664666666666667,373.71816666666666,422.11370000000005,0.0,0.0,0.0,-48.405633333333334,-48.405633333333334,23.685933333333335,64.26843333333333,989.7547333333334
3,175.5,108.45436333333335,-1.6687666666666667,-0.21066666666666667,0.034666666666666665,-0.3803666666666667,370.00489999999996,417.8170666666667,0.0,0.0,0.0,-47.81733333333333,-47.81733333333333,22.7469,67.55323333333334,990.1081666666666
4,175.5,113.95818,-1.6137666666666668,-0.2313,0.04003333333333334,-0.3504333333333333,368.48656666666665,415.0826666666667,0.0,0.0,0.0,-46.59713333333333,-46.59713333333333,22.034066666666664,70.01586666666667,990.2246666666666
5,175.5,116.80876666666666,-1.5577666666666667,-0.15053333333333335,0.0654,-0.3655,366.5259,412.0199,0.0,3.3333333333333335e-05,0.0,-45.516099999999994,-45.516099999999994,21.278066666666664,73.01156666666667,990.2490999999999
6,175.5,116.64122666666667,-1.6278,-0.12106666666666667,0.04726666666666667,-0.2964,364.2427666666667,409.97606666666667,0.0,0.0,0.0,-45.734233333333336,-45.734233333333336,20.626833333333334,76.13546666666666,990.2416
7,175.5,113.47845666666666,-1.6054333333333335,-0.1698,0.050300000000000004,-0.3519,360.8360666666666,407.3598333333333,0.0,0.0,0.0,-46.52433333333333,-46.52433333333333,20.084066666666665,78.3332,990.1994000000001
8,175.5,107.71821,-1.5708333333333333,-0.14363333333333334,0.05876666666666667,-0.3355666666666667,359.29183333333333,405.3513,0.0,0.0,0.0,-46.05983333333333,-46.05983333333333,19.6157,79.94036666666666,990.1676666666667
9,175.5,99.93487333333333,-1.5405333333333335,-0.1605,0.0368,-0.3233666666666667,358.80213475650436,404.2153666666667,0.0,0.0,0.0021333333333333334,-45.39616410940627,-45.39402935290193,19.295866666666665,81.1079,990.3386333333333
